species,longitude,latitude
Cortaderia selloana,-60.942576,-31.721177
Cortaderia selloana,-62.357222,-37.870969
Cortaderia selloana,-61.350598,-29.281408
Cortaderia selloana,-67.687518,-28.902858
Cortaderia selloana,-61.795879,-33.028286
Cortaderia selloana,-60.548189,-31.711986
Cortaderia selloana,-64.599867,-37.368794
Cortaderia selloana,-58.754391,-33.3873
Cortaderia selloana,-62.352176,-36.940486
Cortaderia selloana,-64.277828,-31.352477
Cortaderia selloana,-60.782501,-32.947704
Cortaderia selloana,-63.757789,-35.659324
Cortaderia selloana,-60.348453,-36.898431
Cortaderia selloana,-60.604413,-31.610122
Cortaderia selloana,-64.701701,-31.670893
Cortaderia selloana,-68.514641,-31.55087
Cortaderia selloana,-66.942203,-29.4254
Cortaderia selloana,-58.428429,-35.01305
Cortaderia selloana,-60.160818,-31.219431
Cortaderia selloana,-71.827296,-41.203749
Cortaderia selloana,-61.89402,-29.13752
Cortaderia selloana,-60.407104,-31.621833
Cortaderia selloana,-62.998083,-35.532531
Cortaderia selloana,-63.661878,-35.726477
Cortaderia selloana,-60.397357,-31.771994
Cortaderia selloana,-58.506379,-34.413899
Cortaderia selloana,-59.907641,-31.750786
Cortaderia selloana,-63.521092,-37.741785
Cortaderia selloana,-64.904514,-31.984365
Cortaderia selloana,-63.607047,-37.219345
Cortaderia selloana,-59.922042,-31.189889
Cortaderia selloana,-58.243053,-38.446281
Cortaderia selloana,-60.440272,-34.617453
Cortaderia selloana,-57.024963,-37.329859
Cortaderia selloana,-63.023673,-40.78963
Cortaderia selloana,-59.755373,-38.812138
Cortaderia selloana,-65.712949,-26.848546
Cortaderia selloana,-68.928363,-32.879419
Cortaderia selloana,-62.641261,-34.244164
Cortaderia selloana,-58.018858,-34.788228
Cortaderia selloana,-64.771711,-32.004664
Cortaderia selloana,-61.793056,-38.1298
Cortaderia selloana,-65.017384,-32.041203
Cortaderia selloana,-64.456238,-31.109345
Cortaderia selloana,-65.281149,-31.489519
Cortaderia selloana,-57.750252,-38.234575
Cortaderia selloana,-64.573106,-31.481931
Cortaderia selloana,-56.691448,-36.670097
Cortaderia selloana,-66.096621,-32.909241
Cortaderia selloana,-70.290571,-38.748498
Cortaderia selloana,-62.355192,-38.686571
Cortaderia selloana,-65.01276,-32.166053
Cortaderia selloana,-59.077573,-34.006996
Cortaderia selloana,-58.611926,-34.623245
Cortaderia selloana,-71.663359,-40.487717
Cortaderia selloana,-65.296411,-26.799283
Cortaderia selloana,-62.774042,-37.167914
Cortaderia selloana,-64.115355,-32.150737
Cortaderia selloana,-65.008319,-31.646789
Cortaderia selloana,-62.225268,-36.878578
Cortaderia selloana,-62.022962,-38.061148
Cortaderia selloana,-60.75304,-31.676546
Cortaderia selloana,-60.605451,-38.627173
Cortaderia selloana,-61.20715,-30.183429
Cortaderia selloana,-60.833932,-31.787117
Cortaderia selloana,-69.500537,-31.670822
Cortaderia selloana,-58.966396,-33.731264
Cortaderia selloana,-67.71026,-37.79264
Cortaderia selloana,-61.077159,-31.549728000000002
Cortaderia selloana,-58.170395,-34.796739
Cortaderia selloana,-60.508665,-31.839245
Cortaderia selloana,-64.996036,-31.807432
Cortaderia selloana,-62.229905,-38.679903
Cortaderia selloana,-62.092797,-38.145266
Cortaderia selloana,-58.88112,-34.237383
Cortaderia selloana,-62.346858,-34.346613
Cortaderia selloana,-64.707125,-31.563283
Cortaderia selloana,-61.167997,-34.073272
Cortaderia selloana,-60.518604,-31.23089
Cortaderia selloana,-58.631183,-34.388042
Cortaderia selloana,-70.043103,-40.014857
Cortaderia selloana,-61.187655,-30.52078
Cortaderia selloana,-62.083869,-38.586658
Cortaderia selloana,-60.962111,-32.020743
Cortaderia selloana,-60.016825,-35.115268
Cortaderia selloana,-64.212576,-35.057074
Cortaderia selloana,-56.838572,-36.338588
Cortaderia selloana,-58.981007,-37.299835
